Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lang.dependent.json	2305	-	0	0	0	0	0	0	14	99	0	0	0	0	0	0	0	0	0	0	11	107	131	0	0	0	2	0	2
fsh-generated/resources/Patient-PatientExample.json	305	18	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	4	15	29	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-PTLogical.json	612	23	0	33	0	0	0	0	0	62	0	0	1	0	0	0	0	0	0	0	1	65	1180	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PTPatient.json	613	23	0	86	1	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	0	195	1350	0	0	0	6	0	2
